file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/Eastern/GOAT_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Goat Farming,Drought,18,5,13,45,"0 add, 0 retire"
generated/Eastern/GOAT_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Goat Farming,Flood,19,5,14,45,"0 add, 0 retire"
generated/Eastern/HUMAN_SETTLEMENTS_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Human Settlements Sector,,Drought,16,13,3,45,"0 add, 0 retire"
generated/Eastern/HUMAN_SETTLEMENTS_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Human Settlements Sector,,Flood,17,8,9,45,"0 add, 0 retire"
generated/Eastern/INDUSTRY_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Industry Sector,,Drought,14,11,3,45,"0 add, 0 retire"
generated/Eastern/INDUSTRY_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Industry Sector,,Flood,15,10,5,45,"0 add, 0 retire"
generated/Eastern/IRRIGATION_WATER_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Water Sector,Irrigation Water,Drought,9,4,5,45,"0 add, 0 retire"
generated/Eastern/IRRIGATION_WATER_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Water Sector,Irrigation Water,Flood,10,4,6,45,"0 add, 0 retire"
generated/Eastern/PADDY_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Agriculture Sector,Paddy,Drought,12,8,4,45,"0 add, 0 retire"
generated/Eastern/PADDY_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Agriculture Sector,Paddy,Flood,15,9,6,45,"0 add, 0 retire"
generated/Eastern/PIG_AND_SHEEP_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Pig and Sheep Farming,Drought,21,5,16,45,"0 add, 0 retire"
generated/Eastern/PIG_AND_SHEEP_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Pig and Sheep Farming,Flood,22,5,17,45,"0 add, 0 retire"
generated/Eastern/POTABLE_WATER_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Water Sector,Potable Water,Drought,12,9,3,45,"0 add, 0 retire"
