province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
Central,Nuwara Eliya,NU3,Kothmale East,,266,,Kothmale (CEN-034),80.6982,7.037375,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU4,Kothmale West,,338,,Kothmale (CEN-034),80.612003,7.028795,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU5,Mathurata,,337,,Hanguranketa (CEN-033),80.788718,7.088705,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU6,Nildandahinna,,340,,Walapane (CEN-036),80.913975,7.088632,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU7,Norwood,,336,,Ambagamuwa (CEN-032),80.578133,6.856014,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU8,Nuwara Eliya,නුවර එළිය,267,CEN-035,,80.778033,6.897998,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU9,Thalawakele,,339,,Nuwara Eliya (CEN-035),80.705843,6.889229,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU10,Walapane,වලපනේ,268,CEN-036,,80.834132,7.088056,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM1,Addalaichenai,අඩ්ඩාලච්චේන,1,EAS-001,,81.811947,7.263232,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM2,Akkaraipattu,අක්කරපත්තුව,2,EAS-002,,81.765404,7.207869,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM3,Alayadivembu,අලයාඩිවෙම්බු,3,EAS-003,,81.80503,7.175412,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM4,Ampara,අම්පාර,4,EAS-004,,81.593022,7.273715,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM5,Damana,දමන,5,EAS-005,,81.619361,7.123332,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM6,Dehiattakandiya,දෙහිඅත්තකණ්ඩිය,6,EAS-006,,81.093203,7.620365,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
